corpus	max topics			topics probabilities	
meet_118   [2, 6, 3, 9, 1]		[0.641925, 0.19096346, 0.13179404, 0.035048928, 4.4778564e-05]
meet_119   [2, 9, 3, 8, 6]		[0.636453, 0.2611221, 0.10207438, 5.008861e-05, 5.0088296e-05]
meet_120   [9, 3, 2, 6, 4]		[0.8383987, 0.16083568, 9.571769e-05, 9.57164e-05, 9.571086e-05]
meet_121   [3, 9, 2, 0, 6]		[0.8068107, 0.10994136, 0.082982786, 3.7888753e-05, 3.788767e-05]
meet_122   [2, 3, 6, 9, 0]		[0.7581123, 0.12133465, 0.079391405, 0.0408941, 4.4594723e-05]
meet_123   [2, 9, 3, 8, 0]		[0.81848186, 0.17814186, 0.003154317, 3.171448e-05, 3.171432e-05]
meet_124   [9, 3, 8, 2, 6]		[0.8332727, 0.16589645, 0.000103878294, 0.00010387309, 0.00010387286]
meet_125   [3, 2, 9, 6, 8]		[0.8933327, 0.074598975, 0.03175284, 4.507752e-05, 4.5076373e-05]
meet_126   [2, 9, 6, 3, 8]		[0.53546894, 0.24782878, 0.2111959, 0.0052560475, 4.1728585e-05]
meet_127   [2, 9, 3, 6, 8]		[0.7342938, 0.15747885, 0.107643045, 0.0003758191, 3.474443e-05]
meet_128   [9, 2, 3, 6, 0]		[0.9423479, 0.056942746, 8.867886e-05, 8.867811e-05, 8.8674205e-05]
meet_129   [3, 2, 9, 6, 8]		[0.99960726, 4.364301e-05, 4.364161e-05, 4.36412e-05, 4.3639368e-05]
meet_130   [2, 3, 6, 9, 4]		[0.60016435, 0.3881583, 0.0113857435, 4.166308e-05, 4.1659576e-05]
meet_131   [2, 9, 3, 8, 6]		[0.8211374, 0.09983976, 0.07875781, 3.78606e-05, 3.786052e-05]
meet_132   [9, 3, 2, 6, 0]		[0.99847233, 0.0007290936, 9.982984e-05, 9.982649e-05, 9.982594e-05]
meet_133   [3, 2, 9, 6, 0]		[0.84137, 0.09691279, 0.061432738, 4.0645336e-05, 4.06436e-05]
meet_134   [2, 3, 6, 9, 4]		[0.7842639, 0.17204425, 0.04078421, 0.0026500304, 4.2947253e-05]
meet_135   [2, 3, 6, 9, 0]		[0.7953359, 0.20439397, 3.37704e-05, 3.3770157e-05, 3.377013e-05]
meet_136   [9, 2, 3, 1, 6]		[0.81738317, 0.18203034, 8.964004e-05, 7.0994734e-05, 7.099251e-05]
meet_137   [3, 2, 9, 1, 6]		[0.77845883, 0.119382165, 0.06789334, 0.03403089, 3.913419e-05]
meet_138   [2, 1, 3, 9, 6]		[0.52051085, 0.28816906, 0.09518589, 0.08581224, 0.010108298]
meet_139   [2, 3, 1, 9, 6]		[0.6671737, 0.15774678, 0.108935826, 0.06586977, 4.5654757e-05]
meet_140   [9, 2, 3, 4, 6]		[0.59216785, 0.2347172, 0.17121764, 0.0002710677, 0.00027106277]
meet_141   [3, 9, 2, 6, 8]		[0.93892014, 0.05920052, 0.001290053, 8.419532e-05, 8.41917e-05]
meet_142   [2, 3, 9, 6, 0]		[0.7379299, 0.17471014, 0.07904157, 0.007848844, 7.8263525e-05]
meet_143   [2, 9, 0, 6, 8]		[0.89236546, 0.106812164, 0.00010281644, 0.00010280825, 0.00010280399]
meet_144   [9, 3, 2, 6, 8]		[0.72429496, 0.27495655, 9.357431e-05, 9.35724e-05, 9.35696e-05]
meet_145   [3, 2, 9, 6, 8]		[0.9535669, 0.045982752, 0.0001041382, 4.946974e-05, 4.9468203e-05]
meet_146   [2, 6, 3, 9, 0]		[0.71534747, 0.147351, 0.13695371, 4.9689635e-05, 4.9688282e-05]
meet_147   [2, 3, 8, 9, 6]		[0.55144197, 0.21207996, 0.14836308, 0.08772926, 6.4285574e-05]
meet_148   [9, 1, 6, 8, 2]		[0.9657641, 0.033203423, 0.00012907058, 0.0001290701, 0.00012906722]
meet_149   [3, 2, 6, 9, 8]		[0.8060923, 0.16576765, 0.018097984, 0.009830673, 3.5232584e-05]
meet_150   [2, 6, 3, 9, 8]		[0.7803092, 0.1423201, 0.07317723, 0.003981143, 3.5381105e-05]
meet_151   [2, 9, 3, 8, 4]		[0.7409486, 0.12883066, 0.049867354, 0.03946016, 0.023038607]
